Date: 1-1-2022
Player: L. Doncic, line: O 6.5, odds: (-115)
Player: M. Muscala, line: O 3.5, odds: (+105)
Player: T. Hardaway Jr., line: O 2.5, odds: (-170)
Player: K. Williams, line: O 4.5, odds: (+105)
Player: Ty Jerome, line: O 3.5, odds: (+108)
Player: A. Pokusevski, line: O 6.5, odds: (-110)
Player: J. Giddey, line: O 6.5, odds: (-110)
Player: N. Reid, line: O 5.5, odds: (+120)
Player: L. James, line: O 10.5, odds: (EVEN)
Player: P. Beverley, line: O 5.5, odds: (+110)
Player: J. McDaniels, line: O 4.5, odds: (-125)
Player: T. Ariza, line: O 3.5, odds: (-145)
Player: A. Edwards, line: O 5.5, odds: (+110)
Player: J. Nowell, line: O 2.5, odds: (-140)
Player: A. Bradley, line: O 3.5, odds: (+125)
Player: T. Horton-Tucker, line: O 3.5, odds: (-120)
Player: S. Johnson, line: O 4.5, odds: (-160)
Player: R. Westbrook III, line: O 9.5, odds: (-140)
Player: J. Vanderbilt, line: O 9.5, odds: (EVEN)
Player: M. Beasley, line: O 4.5, odds: (-105)
Player: C. Anthony, line: O 5.5, odds: (+120)
Player: M. Monk, line: O 3.5, odds: (-135)

Date: 1-3-2022
Player: M. Plumlee, line: O 6.5, odds: (-120)
Player: T. Rozier, line: O 3.5, odds: (-115)
Player: D. Gafford, line: O 10.5, odds: (+110)
Player: M. Bridges, line: O 6.5, odds: (+110)
Player: G. Hayward, line: O 4.5, odds: (-135)
Player: C. Martin, line: O 3.5, odds: (+110)
Player: J. McDaniels, line: O 4.5, odds: (+110)
Player: K. Kuzma, line: O 8.5, odds: (-120)
Player: D. Avdija, line: O 6.5, odds: (-110)
Player: K. Oubre Jr., line: O 3.5, odds: (+115)
Player: D. Bertans, line: O 2.5, odds: (+105)
Player: C. Kispert, line: O 3.5, odds: (-140)
Player: B. Beal, line: O 4.5, odds: (-155)
Player: K. Caldwell-Pope, line: O 3.5, odds: (-150)
Player: L. Ball, line: O 6.5, odds: (+105)
Player: D. Green, line: O 3.5, odds: (+120)
Player: G. Niang, line: O 2.5, odds: (-125)
Player: J. Green, line: O 3.5, odds: (+115)
Player: D. Theis, line: O 6.5, odds: (+105)
Player: K. Martin Jr., line: O 5.5, odds: (-105)
Player: T. Maxey, line: O 3.5, odds: (EVEN)
Player: J. Tate, line: O 6.5, odds: (+110)
Player: S. Milton, line: O 2.5, odds: (EVEN)
Player: J. Embiid, line: O 10.5, odds: (-125)
Player: J. Christopher, line: O 3.5, odds: (EVEN)
Player: S. Curry, line: O 2.5, odds: (-120)
