Stat: pts
Best weight alpha found: 205
Best feature alpha found: 5
Ricky Rubio average predicted stats: 2.7247870137718957
Ricky Rubio actual average stats: 1.5
Julius Randle average predicted stats: 7.858962978204923
Julius Randle actual average stats: 7.1
Precious Achiuwa average predicted stats: 4.540445963527704
Precious Achiuwa actual average stats: 5.4
Cole Anthony average predicted stats: 3.9799673187665796
Cole Anthony actual average stats: 6.3
Payton Pritchard average predicted stats: 1.2636469089051552
Payton Pritchard actual average stats: 3.0
Kevin Huerter average predicted stats: 2.4115625879320066
Kevin Huerter actual average stats: 4.1
Jordan Clarkson average predicted stats: 2.9370926972126012
Jordan Clarkson actual average stats: 4.4
Andrew Nembhard average predicted stats: 1.9864060261056935
Andrew Nembhard actual average stats: 2.8
Dillon Brooks average predicted stats: 3.431994589132048
Dillon Brooks actual average stats: 3.7
Nick Richards average predicted stats: 6.2497186944308885
Nick Richards actual average stats: 9.2
Malachi Flynn average predicted stats: 0.9865837024546652
Malachi Flynn actual average stats: 1.1
Luka Doncic average predicted stats: 6.569370440367594
Luka Doncic actual average stats: 8.1
Jalen Smith average predicted stats: 5.020647732417613
Jalen Smith actual average stats: 6.1
Max Strus average predicted stats: 2.0524697704761197
Max Strus actual average stats: 2.2
Malaki Branham average predicted stats: 3.8815088747161495
Malaki Branham actual average stats: 3.6
Anthony Lamb average predicted stats: 3.4033077044522697
Anthony Lamb actual average stats: 3.5
Zach Collins average predicted stats: 5.488926107954592
Zach Collins actual average stats: 8.0
Max Christie average predicted stats: 2.228627955399705
Max Christie actual average stats: 0.6
Gorgui Dieng average predicted stats: 1.4648319523978632
Gorgui Dieng actual average stats: 5.2
Jalen Williams average predicted stats: 5.411921172076703
Jalen Williams actual average stats: 4.6
Franz Wagner average predicted stats: 3.4615150295317436
Franz Wagner actual average stats: 5.3
Dean Wade average predicted stats: 3.038327436590355
Dean Wade actual average stats: 2.4
Wesley Matthews average predicted stats: 2.2893919477799853
Wesley Matthews actual average stats: 2.0
Zeke Nnaji average predicted stats: 2.4540885718284455
Zeke Nnaji actual average stats: 3.7
