Date: 1-1-2022
Player: K. Huerter, line: O 2.5, odds: (-145)
Player: T. Young, line: O 9.5, odds: (-110)
Player: D. Smith Jr., line: O 4.5, odds: (-130)
Player: C. Reddish, line: O 1.5, odds: (EVEN)
Player: C. Capela, line: O 1.5, odds: (+140)
Player: T. Luwawu-Cabarrot, line: O 0.5, odds: (-230)
Player: S. Mays, line: O 2.5, odds: (+150)
Player: N. Powell, line: O 3.5, odds: (+115)
Player: B. McLemore, line: O 1.5, odds: (+175)
Player: L. Williams, line: O 2.5, odds: (+105)
Player: A. Simons, line: O 3.5, odds: (+110)
Player: L. Nance Jr., line: O 3.5, odds: (EVEN)
Player: N. Little, line: O 1.5, odds: (-140)
Player: D. Gallinari, line: O 1.5, odds: (+160)
Player: K. Lowry, line: O 6.5, odds: (-140)
Player: S. Curry, line: O 5.5, odds: (-110)
Player: C. Martin, line: O 1.5, odds: (+140)
Player: D. Green, line: O 7.5, odds: (-115)
Player: O. Yurtseven, line: O 0.5, odds: (-250)
Player: A. Wiggins, line: O 1.5, odds: (-200)
Player: G. Payton II, line: O 1.5, odds: (+155)
Player: O. Porter Jr., line: O 1.5, odds: (-160)
Player: N. Bjelica, line: O 1.5, odds: (+115)
Player: P.J. Tucker, line: O 1.5, odds: (-105)
Player: J. Butler, line: O 4.5, odds: (-155)
Player: T. Herro, line: O 3.5, odds: (EVEN)
Player: K. Looney, line: O 1.5, odds: (-130)
Player: J. Poole, line: O 2.5, odds: (-118)
Player: R. Jackson, line: O 4.5, odds: (-102)
Player: S. Ibaka, line: O 1.5, odds: (-120)
Player: J. Nowell, line: O 2.5, odds: (-105)
Player: P. Beverley, line: O 5.5, odds: (+125)
Player: J. Vanderbilt, line: O 1.5, odds: (+125)
Player: J. Winslow, line: O 1.5, odds: (-105)
Player: M. Morris Sr., line: O 2.5, odds: (EVEN)
Player: A. Edwards, line: O 3.5, odds: (-125)
Player: A. Coffey, line: O 1.5, odds: (+105)
Player: M. Beasley, line: O 2.5, odds: (+130)
Player: E. Bledsoe, line: O 6.5, odds: (+122)
Player: J. McDaniels, line: O 1.5, odds: (+175)
Player: T. Mann, line: O 2.5, odds: (+118)
